"companyId","company","ticker","alias"
"371","Dr Pepper/7UP","",""
"372","Eastman Kodak","",""
"373","Fortune Brands/Acushnet","",""
"374","Gale Force Holdings","",""
"375","Manchester United","",""
"376","News Corp./Fox","",""
"377","Southwest Sports Group","",""
"378","TBS/TNT","",""
"380","USTA","",""
"381","TRAC","",""
"382","FIFA","",""
"383","USA Track & Field","",""
"384","CBA","",""
"385","WCHL","",""
"386","Memphis Grizzlies","",""
"387","Speedvision","",""
"388","Speed Channel","",""
"389","JPMorgan Chase","",""
"390","Tennis Channel","",""
"392","MISL","",""
"394","All Sport","",""
"396","Charlotte Hornets (See New Orleans Hornets)","",""
"398","NYC2012","",""
"399","CSTV","",""
"400","SABMiller","","Miller Brewing | SAB Breweries | Miller Lite | Miller Genuine Draft"
"401","NJSEA","","New Jersey Sports & Exposition Authority | NJSEA"
"403","NBDL","",""
"404","Charlotte Bobcats","","Charlotte NBA"
"501","AVP","",""
"502","Nextel","",""
"503","EA Sports","",""
"504","M&T Bank","","M&T Bank"
"505","Kroenke Sports Enterprises","",""
"506","Atlanta Spirit","",""
"507","Montreal Expos","","Washington Nationals"
"508","adidas","",""
"509","Under Armour","","Under Armour"
"510","360 Architecture","",""
"511","Real Salt Lake","","Real Salt Lake"
"512","Chivas USA","","Chivas USA"
"513","Versus","","OLN"
"514","Under Armour","","Under Armour"
"515","New Balance","",""
"516","Six Flags","","Six Flags"
"517","SportsNet N.Y.","","SNY"
"518","SNY","","SNY"
"519","New York Red Bulls","","MLS Red Bulls"
"520","Houston Dynamo","","MLS Dynamo"
"521","Chicago","","WNBA Sky"
"522","Chicago Sky","","WNBA Sky"
"523","StubHub","","StubHub"
"524","Sony","","Sony"
"525","Dew Action Sports Tour","","Dew Action Sports Tour"
"526","XM Satellite Radio","","XM"
"527","Sirius Satellite Radio","","Sirius"
"528","Toronto FC","",""
"529","Dick's Sporting Goods","",""
"530","Daktronics","",""
"531","PBR","",""
"532","Lenovo","",""
"533","The Golf Channel","",""
"534","Wasserman Media Group","","WMG"
"535","Take-Two Interactive","","Take-Two Interactive"
"536","Creative Artists Agency","","CAA"
"537","Creative Artists Agency","","CAA"
"538","Honda","","Honda"
"540","New Company","(null)","(null)"
"541","IFL","(null)","(null)"
"542","Crocs","(null)","(null)"
"543","InDemand","(null)","(null)"
"544","Quiksilver","(null)","(null)"
"545","Salomon","(null)","(null)"
"546","NYRA","(null)","(null)"
"547","MASN","(null)","(null)"
"548","TaylorMade","(null)","(null)"
"549","MacGregor","(null)","(null)"
"550","Ping","(null)","(null)"
"551","Humane Society","(null)","(null)"
"552","SMG","(null)","(null)"
"553","Sling Media","(null)","(null)"
"554","Tour de France","(null)","(null)"
"555","Finish Line","(null)","(null)"
"556","DEI","(null)","(null)"
"557","Glaceau","(null)","(null)"
"558","Rolex","(null)","(null)"
"559","YES Network","(null)","(null)"
"560","Houston Dynamo","(null)","(null)"
"561","Ginn","(null)","(null)"
"562","UFC","(null)","(null)"
"563","WEC","(null)","(null)"
"564","Pride","(null)","(null)"
"565","Canon","(null)","(null)"
"566","Olympus","(null)","(null)"
"567","Bridgestone/Firestone","(null)","(null)"
"568","TicketsNow","(null)","(null)"
"569","PBR","(null)","(null)"
"570","Spalding","(null)","(null)"
"571","William Morris Agency","(null)","(null)"
"572","Infineon","(null)","(null)"
"573","Breeders Cup","(null)","(null)"
"574","Lowe's","(null)","(null)"
"575","Kia","(null)","(null)"
"576","Golf Channel","(null)","(null)"
"577","Allstate","(null)","(null)"
"578","Capital One","(null)","(null)"
"579","Citi","(null)","(null)"
"580","KPMG","(null)","(null)"
"581","Haier","(null)","(null)"
"582","San Jose Earthquakes","(null)","(null)"
"583","Modell's","(null)","(null)"
"584","Geico","(null)","(null)"
"585","New Company","(null)","(null)"
"586","Seattle Sounders FC","(null)","(null)"
"587","New Company","(null)","(null)"
"588","Yum! Brands","(null)","(null)"
"589","Nikon","(null)","(null)"
"590","MetLife","(null)","(null)"
"591","NetJets","(null)","(null)"
"592","Lincoln Financial","(null)","(null)"
"593","Charles Schwab","(null)","(null)"
"594","Bacardi","(null)","(null)"
