"sportId","sport"
"18","Amateur Sports"
"2","Baseball"
"3","Basketball"
"25","Bowling"
"13","Boxing"
"12","Collegiate Sports"
"21","Cycling"
"10","Extreme Sports"
"6","Football"
"7","Golf"
"1","Hockey"
"16","Horse Racing"
"22","Lacrosse"
"24","Mixed Marital Arts"
"5","Motorsports"
"4","Olympics"
"8","Soccer"
"15","Sports Events"
"9","Tennis"
"14","Track & Field"
"23","Volleyball"
"11","Winter Sports"
